device,condition,frame,quality_template_corr,quality_gate_passed,orientation_margin,orientation_gate_passed,pose_initial_corr,pose_final_corr,pose_refined,pose_attempted,pose_gate_passed,pose_angle_deg,pose_scale,pose_tx32,pose_ty32,raw_mismatch_bits,raw_hd,observed_ones,observed_uniformity_percent,decoder_attempted,decoder_converged,decoder_iterations,unsatisfied_checks,estimated_error_bits,exact_reference_recovered,accepted,outcome_stage
M1,M1_10mA_20C_0,frame_0157.png,0.8209177851676941,True,,True,0.8209177851676941,0.8209177851676941,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0160.png,0.8233715295791626,True,,True,0.8233715295791626,0.8233715295791626,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1021,49.853515625,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0161.png,0.7954046130180359,True,,True,0.7954046130180359,0.7954046130180359,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1021,49.853515625,True,True,1,0,5,True,True,accepted
M1,M1_10mA_20C_0,frame_0168.png,0.817992091178894,True,,True,0.817992091178894,0.817992091178894,False,False,True,0.0,1.0,0.0,0.0,7,0.00341796875,1023,49.951171875,True,True,1,0,7,True,True,accepted
M1,M1_10mA_20C_0,frame_0175.png,0.8221412301063538,True,,True,0.8221412301063538,0.8221412301063538,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1021,49.853515625,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0178.png,0.8167432546615601,True,,True,0.8167432546615601,0.8167432546615601,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0180.png,0.8007215261459351,True,,True,0.8007215261459351,0.8007215261459351,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0182.png,0.8110436797142029,True,,True,0.8110436797142029,0.8110436797142029,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0186.png,0.7958580255508423,True,,True,0.7958580255508423,0.7958580255508423,False,False,True,0.0,1.0,0.0,0.0,23,0.01123046875,1021,49.853515625,True,True,1,0,23,True,True,accepted
M1,M1_10mA_20C_0,frame_0188.png,0.827629804611206,True,,True,0.827629804611206,0.827629804611206,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0195.png,0.8132603168487549,True,,True,0.8132603168487549,0.8132603168487549,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0028.png,0.7880640625953674,True,,True,0.7880640625953674,0.7880640625953674,False,False,True,0.0,1.0,0.0,0.0,12,0.005859375,1022,49.90234375,True,True,1,0,12,True,True,accepted
M1,M1_10mA_30C_0,frame_0031.png,0.8242915868759155,True,,True,0.8242915868759155,0.8242915868759155,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0033.png,0.8008690476417542,True,,True,0.8008690476417542,0.8008690476417542,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0034.png,0.7970355749130249,True,,True,0.7970355749130249,0.7970355749130249,False,False,True,0.0,1.0,0.0,0.0,10,0.0048828125,1022,49.90234375,True,True,1,0,10,True,True,accepted
M1,M1_10mA_30C_0,frame_0040.png,0.8003756999969482,True,,True,0.8003756999969482,0.8003756999969482,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0044.png,0.8226993083953857,True,,True,0.8226993083953857,0.8226993083953857,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1022,49.90234375,True,True,1,0,2,True,True,accepted
